id,project_id,statusid,fetchtime,creationtime,timezone,userscreenname,userid,username,userlocation,userlang,text,lang,retweet,inreplytostatusid,inreplytouserid,inreplytoscreenname,placeid,placename,placefullname,placetype,placeuri,placecountry,placecountrycode,placestreetaddress,placeboundingbox,placeboundingboxswlat,placeboundingboxswlon,placeboundingboxnelat,placeboundingboxnelon,placeboundingboxtype,point,lat,lon,mediaid,mediatext,mediaurihttp,mediaurihttps,mediatype,medianormaluri,mediadisplayuri,mediaexpandeduri,mediasizes,mediacontenttype,mediacontentlength,mediaextension,mediawidth,mediaheight
143623,helpdesk_dkijakarta,754309642549800966,2016-07-23 13:37:39.663-04,2016-07-16 09:40:07-04,,AthenaAnetha,2855732418,Anetha Athena,"Denpasar, Bali",en,@BaliFokus @jokowi @SitiNurbayaLHK @NilaMoeloek @KementerianESDM @KPK_RI @MahkamahAgung @DKIJakarta @basuki_btp Old? https://t.co/YN3vIcIUcb,und,f,,1276455295,BaliFokus,,,,,,,,,,,,,,,,,,754309293852143616,https://t.co/YN3vIcIUcb,http://pbs.twimg.com/media/CnfYTmbVMAAnsrv.jpg,https://pbs.twimg.com/media/CnfYTmbVMAAnsrv.jpg,photo,https://t.co/YN3vIcIUcb,pic.twitter.com/YN3vIcIUcb,http://twitter.com/AthenaAnetha/status/754309642549800966/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":680,""height"":383,""resize"":100},""2"":{""width"":1200,""height"":675,""resize"":100},""3"":{""width"":1280,""height"":720,""resize"":100}}",image/jpeg,175280,jpg,1280,720
143622,helpdesk_dkijakarta,754311816105250816,2016-07-23 13:37:39.663-04,2016-07-16 09:48:46-04,+07:00,Sudinsihju,2383316802,Sudin Kebersihan JU,Jl. Alur Laut Plumpang No. 1,id,@kenfattyken @basuki_btp @SitiNurbayaLHK @DKIJakarta @KebersihanDKI kami sudah berusaha untuk penanganan asap di taman BMW..,id,f,754285710312558593,736477602047610881,kenfattyken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143621,helpdesk_dkijakarta,754314171953520640,2016-07-23 13:37:39.663-04,2016-07-16 09:58:07-04,,GweeHuat,727166042112290816,John Gwee Huat,"Komp Cempaka Mas, Indonesia",id,"@infojakarta @DKIJakarta Mhn info jadwal kapal, harga tiket penumpang dan parkir di Sunda Kelapa & Muara Angke tujuan ke P. Seribu.",id,f,754144793454784512,106038219,infojakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143620,helpdesk_dkijakarta,754318931834310656,2016-07-23 13:37:39.663-04,2016-07-16 10:17:02-04,+07:00,BeritaJakarta,213204035,Berita Jakarta,Balaikota DKI Jakarta,en,Yuk kunjungi #WisataBalaiKota DKI bersama Finalis @abnonjakarta 2016 (via: @DKIJakarta) https://t.co/QkiChvvL8i,id,f,,,,,,,,,,,,,,,,,,,,,753934306511171585,https://t.co/QkiChvvL8i,http://pbs.twimg.com/media/CnaDQduUMAE0qPh.jpg,https://pbs.twimg.com/media/CnaDQduUMAE0qPh.jpg,photo,https://t.co/QkiChvvL8i,pic.twitter.com/QkiChvvL8i,http://twitter.com/BeritaJakarta/status/753934385611546624/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":680,""height"":383,""resize"":100},""2"":{""width"":1200,""height"":675,""resize"":100},""3"":{""width"":1200,""height"":675,""resize"":100}}",image/jpeg,165706,jpg,1200,675
143619,helpdesk_dkijakarta,754338372047384576,2016-07-23 13:37:39.663-04,2016-07-16 11:34:17-04,+07:00,Topeng_Maskara,232568621,Topeng Maskara,"",id,"@detik_foto Smoga tinggi,bentuk,fasilitas smua trotoir sama,ada jalurnya speda,spatu/kursiroda,&tdk bs utk mtor&PKL @DKIJakarta @basuki_btp",id,f,,564478404,detik_foto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143618,helpdesk_dkijakarta,754338657742401536,2016-07-23 13:37:39.663-04,2016-07-16 11:35:25-04,,kenfattyken,736477602047610881,mejamakan,Indonesia,en-GB,"@Sudinsihju @basuki_btp @SitiNurbayaLHK @DKIJakarta @KebersihanDKI dicari solusinya ,pak. Mau sampe kapan?asap nonstop bisa bunuh warga..",id,f,754311816105250816,2383316802,Sudinsihju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143617,helpdesk_dkijakarta,754339390386614272,2016-07-23 13:37:39.663-04,2016-07-16 11:38:20-04,+07:00,Topeng_Maskara,232568621,Topeng Maskara,"",id,"@detikcom Smoga tinggi,bentuk,fasilitas smua trotoir sama,ada jalurnya speda,spatu/kursiroda,&tdk bisa utk mtor&PKL @DKIJakarta @basuki_btp",id,f,754331767717244928,69183155,detikcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143616,helpdesk_dkijakarta,754339422724759552,2016-07-23 13:37:39.663-04,2016-07-16 11:38:27-04,,kenfattyken,736477602047610881,mejamakan,Indonesia,en-GB,@SuryaAnaya @retnastuti @hasrulhoesein @sautmkt look at this. @basuki_btp @SitiNurbayaLHK @DKIJakarta https://t.co/zXL3ZuanqB,en,f,,39214414,SuryaAnaya,,,,,,,,,,,,,,,,,,754339405955870720,https://t.co/zXL3ZuanqB,http://pbs.twimg.com/media/CnfzsWwUMAAe0v3.jpg,https://pbs.twimg.com/media/CnfzsWwUMAAe0v3.jpg,photo,https://t.co/zXL3ZuanqB,pic.twitter.com/zXL3ZuanqB,http://twitter.com/kenfattyken/status/754339422724759552/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":404,""height"":680,""resize"":100},""2"":{""width"":714,""height"":1200,""resize"":100},""3"":{""width"":750,""height"":1261,""resize"":100}}",image/jpeg,128617,jpg,750,1261
143615,helpdesk_dkijakarta,754340096791367681,2016-07-23 13:37:39.663-04,2016-07-16 11:41:08-04,+07:00,sautmkt,91122244,Saut Marpaung,"Jakarta Timur, DKI Jakarta",en,@kenfattyken @SuryaAnaya @retnastuti @hasrulhoesein @basuki_btp @SitiNurbayaLHK @DKIJakarta apakah pembakaran sampah? akan sy cek langsung,id,f,754339422724759552,736477602047610881,kenfattyken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143614,helpdesk_dkijakarta,754344072924364802,2016-07-23 13:37:39.663-04,2016-07-16 11:56:56-04,-07:00,ramli_mp,54498265,Ramli. MP,J.A.K.A.R.T.A,en,"Puluhan Korban ranjau paku di FO Slipi arah semanggi, hati2 melintas @TMCPoldaMetro @NTMCLantasPolri @DKIJakarta https://t.co/EwvB7hXEV8",id,f,,,,,,,,,,,,,,,,,,,,,754344024375300096,https://t.co/EwvB7hXEV8,http://pbs.twimg.com/media/Cnf35LtUEAAIri9.jpg,https://pbs.twimg.com/media/Cnf35LtUEAAIri9.jpg,photo,https://t.co/EwvB7hXEV8,pic.twitter.com/EwvB7hXEV8,http://twitter.com/ramli_mp/status/754344072924364802/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":510,""height"":680,""resize"":100},""2"":{""width"":900,""height"":1200,""resize"":100},""3"":{""width"":1536,""height"":2048,""resize"":100}}",image/jpeg,138039,jpg,1536,2048
